title,company,salary,experience,location,skills,url,source,scraped_at,job_date_str
AI Software Engineer (Python/ Go/ C/ C++ Backend & AI Agents) - Khối Công Nghệ Thông Tin (2026TD450888),NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK,Thương lượng,,Hà Nội,"Python, Microservice, TensorFlow",https://www.vietnamworks.com/ai-software-engineer-python-go-c-c-backend-and-ai-agents-khoi-cong-nghe-thong-tin-2026td450888-2069030-jv?source=searchResults&searchType=2&placement=2069030&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:55,
Chairman Assistant (Personal Assistant),MISA Jointstock Company,Thương lượng,,Hà Nội,"Admin, Admin Assistant, Admintration",https://www.vietnamworks.com/chairman-assistant-personal-assistant-2062339-jv?source=searchResults&searchType=2&placement=2062339&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:55,
Viettel Tuyển Dụng Senior Backend Developer,Tổng Công Ty Viễn Thông Viettel (Viettel Telecom),Tới 50tr ₫/tháng,,Hà Nội,"IT, Mobile Development, backend",https://www.vietnamworks.com/viettel-tuyen-dung-senior-backend-developer-2069067-jv?source=searchResults&searchType=2&placement=2069067&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:55,
Chuyên Viên Quản Lý Dự Án (Contract & Operation Manager),Công Ty TNHH Infoplus,Thương lượng,,Hà Nội,"Quản Lý Hợp Đồng, Dự Thảo Hợp Đồng, Quản Trị Dòng Tiền",https://www.vietnamworks.com/chuyen-vien-quan-ly-du-an-contract-andamp-operation-manager-2065494-jv?source=searchResults&searchType=2&placement=2065494&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:55,
Global Legal (Good English),Công Ty TNHH Outcubator Việt Nam,"$ 900-1,600 /tháng",,Hà Nội,"Critical Thinking, Documentation Compliance, Law Firms",https://www.vietnamworks.com/global-legal-good-english-2065297-jv?source=searchResults&searchType=2&placement=2065297&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:55,
Presales Specialist - Cantonese - Open for Freshers - Training Offered (Up to 21 Gross),ITECHWX COMPANY LIMITED,18tr-21tr ₫/tháng,,Hà Nội,"Cantonese, Customer Service, Pre-sales",https://www.vietnamworks.com/presales-specialist-cantonese-open-for-freshers-training-offered-up-to-21-gross-2048778-jv?source=searchResults&searchType=2&placement=2048778&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:56,
"Kỹ Sư Giải Pháp, Tích Hợp Hệ Thống Cloud",Tập Đoàn Bưu Chính Viễn Thông Việt Nam (VNPT),200tr-500tr ₫/năm,,Hà Nội,"An Toàn Thông Tin, Bảo Mật Web, Công Nghệ Thông Tin",https://www.vietnamworks.com/ky-su-giai-phap-tich-hop-he-thong-cloud-2058691-jv?source=searchResults&searchType=2&placement=2058691&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:56,
Product Manager (PM),CÔNG TY CỔ PHẦN THIẾT BỊ CÔNG NGHIỆP GEIC,Thương lượng,,Hà Nội,"C++, Firmware Design, Lập Trình Nhúng",https://www.vietnamworks.com/product-manager-pm--2049735-jv?source=searchResults&searchType=2&placement=2049735&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:56,
Commercial Product Specialist,Esoft Vietnam,Thương lượng,,Hà Nội,"Product Management, Operation, Go-To-Market Strategy",https://www.vietnamworks.com/commercial-product-specialist-2058589-jv?source=searchResults&searchType=2&placement=2058589&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:56,
Product - Service Coach,FPT Software,Thương lượng,,"Hồ Chí Minh, Đà Nẵng, Hà Nội","Agile, Product Planning, Scrum",https://www.vietnamworks.com/product-service-coach-2064807-jv?source=searchResults&searchType=2&placement=2064807&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:56,
