title,company,salary,experience,location,skills,url,source,scraped_at,job_date_str
Kỹ Sư Phát Triển Mobile App (IOS),TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Thoả thuận,,Hà Nội,"2 năm kinh nghiệm chuyên môn, Mobile Developer, IT - Phần mềm, Nghỉ thứ 7, Tiếng Anh TOEIC 550, Đại Học trở lên",https://www.topcv.vn/viec-lam/ky-su-phat-trien-mobile-app-ios/2112930.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:20,2026-06-03
Fullstack Developer (From 3 YoE) - Domain E-Commerce Product,XIPAT FLEXIBLE SOLUTIONS COMPANY LIMITED,Tới 35 triệu,,Hà Nội,"3 năm kinh nghiệm chuyên môn, Fullstack Developer, IT - Phần mềm, Thương mại điện tử, Nghỉ thứ 7, Tiếng Anh Đọc hiểu, Đại Học trở lên, Bảo hiểm xã hội, Bảo hiểm sức khỏe, Khám sức khỏe định kỳ, Team building, Du lịch hàng năm",https://www.topcv.vn/viec-lam/fullstack-developer-from-3-yoe-domain-e-commerce-product/2204957.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:20,2026-06-17
Nhân Viên Software Developer - Backend (Dev) - Làm Việc Tại Hà Nội,BỆNH VIỆN ĐA KHOA PHƯƠNG ĐÔNG - CHI NHÁNH CÔNG TY TNHH TỔ HỢP Y TẾ PHƯƠNG ĐÔNG,Thoả thuận,,Hà Nội,"3 năm kinh nghiệm chuyên môn, Backend Developer, Trung cấp trở lên, Bảo hiểm xã hội, Bảo hiểm sức khỏe, Team building, Phụ cấp: Ăn trưa",https://www.topcv.vn/viec-lam/nhan-vien-software-developer-backend-dev-lam-viec-tai-ha-noi/2064662.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:20,2026-06-15
Kỹ Sư Công Nghệ Thông Tin/Lập Trình Viên IT - Thu Nhập Hấp Dẫn - Quảng Ninh,CÔNG TY TNHH CÔNG NGHIỆP JINKO SOLAR (VIỆT NAM),Thoả thuận,,Quảng Ninh,"3 năm kinh nghiệm chuyên môn, Backend Developer, IT - Phần cứng và máy tính, IT - Phần mềm, Công nghệ kỹ thuật, Tuổi 21 - 44, Cao Đẳng trở lên, Bảo hiểm xã hội, Du lịch hàng năm, Thưởng tháng 13, Team building",https://www.topcv.vn/viec-lam/ky-su-cong-nghe-thong-tin-lap-trinh-vien-it-thu-nhap-hap-dan-quang-ninh/2168685.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:21,2026-06-03
Senior Backend Developer (Javascript/NodeJS) - Banking Domain,"Pro
FPT IS",Thoả thuận,,Hà Nội,"4 năm kinh nghiệm chuyên môn, Backend Developer, Nghỉ thứ 7, Đại Học trở lên",https://www.topcv.vn/brand/fptis/tuyen-dung/senior-backend-developer-javascript-nodejs-banking-domain-j2133580.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:21,2026-06-16
Java Developer,CÔNG TY TNHH WANOSOFT,Tới 50 triệu,,Hà Nội,"5 năm kinh nghiệm chuyên môn, Software Engineer, IT - Phần mềm, Nghỉ thứ 7, Đại Học trở lên",https://www.topcv.vn/viec-lam/java-developer/2040795.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:21,2026-06-15
"Lập Trình Viên Web (C#, .Net) - Từ 2 Năm Kinh Nghiệm",Công ty Cổ phần MISA,25 - 30 triệu,,Hà Nội,"2 năm kinh nghiệm chuyên môn, Fullstack Developer, IT - Phần mềm, Nghỉ thứ 7, Cao Đẳng trở lên, Bảo hiểm xã hội, Khám sức khỏe định kỳ, Team building, Thưởng hiệu quả làm việc, Phụ cấp: Ăn trưa, Thiết bị: Máy tính",https://www.topcv.vn/viec-lam/lap-trinh-vien-web-c-net-tu-2-nam-kinh-nghiem/2204263.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:21,2026-06-17
Java Developer 5+YOE,"Pro
Woori Bank Vietnam",Thoả thuận,,Hà Nội,"5 năm kinh nghiệm chuyên môn, Software Engineer, IT - Phần mềm, Nghỉ thứ 7, Cao Đẳng trở lên",https://www.topcv.vn/viec-lam/java-developer-5-yoe/1450423.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:21,2026-06-17
Lập Trình Viên Mobile,Công ty Cổ Phần Hóa Dầu Mekong,Thoả thuận,,Hồ Chí Minh (mới),"1 năm kinh nghiệm chuyên môn, Mobile Developer, Điện toán đám mây (Cloud), IT - Phần mềm, Viễn thông, Tuổi 23 - 35, Cao Đẳng trở lên",https://www.topcv.vn/viec-lam/lap-trinh-vien-mobile/2205395.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:21,2026-06-17
Senior Backend Developer (Java Spring Boot),CÔNG TY CỔ PHẦN TINASOFT VIỆT NAM,Tới 30 triệu,,Hà Nội,"4 năm kinh nghiệm chuyên môn, Fullstack Developer, IT - Phần mềm, Đại Học trở lên",https://www.topcv.vn/viec-lam/senior-backend-developer-java-spring-boot/2204715.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:21,2026-06-17
